Supplier_ID,Supplier_Name,Supplier_Type,City,State,Region,Payment_Terms
3177,Atlas Distributors,Importer,Sacramento,California,West,Due on Receipt
3178,Pacific Industries,Manufacturer,Minneapolis,Minnesota,Midwest,Net 60
3179,Omega Equipment Co.,Fabricator,Los Angeles,California,West,Net 60
3180,Rocky Mountain Solutions Inc.,Importer,Baltimore,Maryland,Northeast,Due on Receipt
3181,Vertex Components Inc.,Wholesale Distributor,Atlanta,Georgia,South,Due on Receipt
3182,Coastal Components Inc.,Importer,San Antonio,Texas,South,Due on Receipt
3183,Eagle Logistics Group,Importer,Tucson,Arizona,West,Net 30
3184,Coastal Solutions Inc.,Fabricator,Pittsburgh,Pennsylvania,Northeast,Net 15
3185,Liberty Holdings,Importer,Detroit,Michigan,Midwest,Net 45
3186,Plains Distributors,Fabricator,Boston,Massachusetts,Northeast,Net 60
3187,Pinnacle Equipment Co.,Manufacturer,Cleveland,Ohio,Midwest,Net 60
3188,Titan Systems Inc.,Importer,Los Angeles,California,West,Net 15
3189,Plains Plastics Inc.,Manufacturer,Cleveland,Ohio,Midwest,Due on Receipt
3190,Granite Solutions Inc.,Wholesale Distributor,Dallas,Texas,South,Due on Receipt
3191,Union Metalworks,Fabricator,Pittsburgh,Pennsylvania,Northeast,Net 15
3192,Gulf Coast Industries,Fabricator,Minneapolis,Minnesota,Midwest,Net 15
3193,Midwest Tooling Co.,Wholesale Distributor,Indianapolis,Indiana,Midwest,Net 45
3194,Titan Tooling Co.,Manufacturer,Cleveland,Ohio,Midwest,Net 60
3195,BlueRock Fabrication,Importer,Nashville,Tennessee,South,Due on Receipt
3196,Cascade Metalworks,Wholesale Distributor,Nashville,Tennessee,South,Net 60
3197,Keystone Products Inc.,Wholesale Distributor,Tucson,Arizona,West,Net 15
3198,Vertex Solutions Inc.,Importer,Boston,Massachusetts,Northeast,Net 15
3199,Northeast Metalworks,Wholesale Distributor,Raleigh,North Carolina,South,Net 60
3200,Sterling Metalworks,Importer,Philadelphia,Pennsylvania,Northeast,Due on Receipt
3201,Keystone Logistics Group,Importer,Tucson,Arizona,West,Net 30
3202,Omega Tooling Co.,Fabricator,Milwaukee,Wisconsin,Midwest,Net 30
3203,Plains Solutions Inc.,Importer,Dallas,Texas,South,Net 60
3204,Keystone Fabrication,Manufacturer,Nashville,Tennessee,South,Net 30
3205,Plains Materials Group,Fabricator,Raleigh,North Carolina,South,Net 15
3206,Frontier Logistics Group,Wholesale Distributor,Chicago,Illinois,Midwest,Net 60
3207,Plains Fabrication,Fabricator,Atlanta,Georgia,South,Net 45
3208,Continental Equipment Co.,Manufacturer,Pittsburgh,Pennsylvania,Northeast,Net 45
3209,Plains Packaging Co.,Importer,Houston,Texas,South,Net 60
3210,Atlas Industrial Supply,Importer,Seattle,Washington,West,Net 30
3211,Pacific Industrial Supply,Manufacturer,Detroit,Michigan,Midwest,Net 15
3212,Granite Distributors,Importer,Indianapolis,Indiana,Midwest,Net 15
3213,Southern Manufacturing Co.,Importer,Newark,New Jersey,Northeast,Net 45
3214,Cascade Fabrication,Fabricator,Seattle,Washington,West,Due on Receipt
3215,Summit Distributors,Fabricator,Atlanta,Georgia,South,Due on Receipt
3216,Liberty Fabrication,Fabricator,Seattle,Washington,West,Net 45
3217,Granite Hardware Supply,Manufacturer,Salt Lake City,Utah,West,Net 60
3218,Summit Industrial Supply,Importer,Minneapolis,Minnesota,Midwest,Due on Receipt
3219,Granite Industries,Fabricator,Charlotte,North Carolina,South,Net 60
3220,Coastal Industries,Importer,Indianapolis,Indiana,Midwest,Net 15
3221,Northeast Equipment Co.,Manufacturer,Los Angeles,California,West,Due on Receipt
3222,Gulf Coast Metalworks,Importer,Cleveland,Ohio,Midwest,Net 30
3223,Heritage Holdings,Wholesale Distributor,Seattle,Washington,West,Due on Receipt
3224,Vertex Fabrication,Manufacturer,Pittsburgh,Pennsylvania,Northeast,Net 15
3225,Pinnacle Logistics Group,Importer,Dallas,Texas,South,Net 30
3226,Continental Solutions Inc.,Wholesale Distributor,Denver,Colorado,West,Net 30
3227,Frontier Plastics Inc.,Importer,Tucson,Arizona,West,Net 30
3228,Vertex Metalworks,Importer,Sacramento,California,West,Net 45
3229,Granite Industrial Supply,Wholesale Distributor,Columbus,Ohio,Midwest,Net 60
3230,Union Industrial Supply,Fabricator,Sacramento,California,West,Net 15
3231,BlueRock Logistics Group,Importer,Philadelphia,Pennsylvania,Northeast,Due on Receipt
3232,Liberty Components Inc.,Importer,Orlando,Florida,South,Due on Receipt
3233,Ironforge Equipment Co.,Importer,Minneapolis,Minnesota,Midwest,Due on Receipt
3234,Heritage Solutions Inc.,Manufacturer,Los Angeles,California,West,Net 45
3235,Granite Tooling Co.,Importer,Raleigh,North Carolina,South,Net 15
3236,Delta Holdings,Importer,Kansas City,Missouri,Midwest,Net 15
3237,Plains Logistics Group,Wholesale Distributor,Atlanta,Georgia,South,Due on Receipt
3238,Midwest Manufacturing Co.,Importer,Sacramento,California,West,Net 30
3239,Titan Packaging Co.,Wholesale Distributor,Charlotte,North Carolina,South,Net 30
3240,Continental Fabrication,Manufacturer,Sacramento,California,West,Net 45
3241,Ironforge Packaging Co.,Wholesale Distributor,Los Angeles,California,West,Net 15
3242,Delta Components Inc.,Manufacturer,Columbus,Ohio,Midwest,Net 45
3243,Southern Tooling Co.,Importer,Milwaukee,Wisconsin,Midwest,Net 15
3244,Summit Hardware Supply,Wholesale Distributor,Dallas,Texas,South,Net 60
3245,Frontier Materials Group,Manufacturer,Baltimore,Maryland,Northeast,Net 60
3246,Granite Holdings,Manufacturer,Portland,Oregon,West,Net 60
3247,Frontier Tooling Co.,Manufacturer,Orlando,Florida,South,Due on Receipt
3248,Eagle Components Inc.,Fabricator,Dallas,Texas,South,Net 60
3249,Liberty Logistics Group,Manufacturer,Atlanta,Georgia,South,Net 45
