Order_ID,Order_Date,Customer_ID,Product_ID,Quantity,Sales_Amount,Shipping_Cost,Order_Status,Delivery_Status
70000060,2025-07-29,104713,50351,10,2520.76,188.33,Returned,N/A
70000061,2024-06-21,102535,50817,8,2021.22,137.8,Delivered,On Time
70000062,2025-04-03,103396,50704,6,6623.31,441.12,Delivered,On Time
70000063,2025-08-30,103845,51862,58,54332.76,1992.43,Returned,N/A
70000064,2025-09-12,100615,51525,1,612.36,55.2,Delivered,Delayed
70000065,2024-07-03,102956,50426,1,403.35,31.77,Delivered,Early
70000066,2024-08-08,100198,51092,7,501.5,25.24,Delivered,On Time
70000067,2023-08-30,102451,51326,15,14411.96,356.29,Delivered,Delayed
70000068,2023-08-15,100756,51123,4,1342.06,67.53,Delivered,On Time
70000069,2023-05-02,100918,51785,1,606.3,32.93,Delivered,On Time
70000070,2025-08-28,101748,50283,1,221.94,9.18,Delivered,Early
70000071,2024-01-05,102093,50121,43,15747.93,689.47,Delivered,Delayed
70000072,2023-12-31,103076,51176,3,3261.49,148.27,Delivered,On Time
70000073,2023-11-19,100412,51472,1,523.88,19.13,Delivered,On Time
70000074,2025-01-23,102475,51593,1,164.95,16.21,Delivered,Early
70000075,2023-05-04,100917,50428,20,20905.95,1834.15,Delivered,On Time
70000076,2024-01-22,102812,50387,33,26548.13,1188.51,Delivered,Delayed
70000077,2025-05-29,103158,51698,1,260.0,11.64,Delivered,On Time
70000078,2025-02-14,102749,50740,1,1321.65,73.23,Delivered,On Time
70000079,2024-05-14,103649,51292,13,13036.88,291.58,Delivered,On Time
70000080,2025-04-15,101623,50323,3,118.22,6.92,Delivered,On Time
70000081,2023-09-01,103771,51566,1,557.47,52.65,Cancelled,N/A
70000082,2025-05-12,102095,51890,4,3279.53,80.12,Delivered,Delayed
70000083,2025-11-21,102379,51917,4,312.37,13.96,Delivered,Delayed
70000084,2025-05-15,103237,51026,13,15574.26,1161.2,Returned,N/A
70000085,2023-07-06,100112,50511,3,548.0,26.89,Delivered,On Time
70000086,2025-11-11,103282,50323,6,233.6,23.83,Delivered,Early
70000087,2023-04-30,103055,50532,17,21196.57,1357.83,Delivered,On Time
70000088,2024-01-23,101476,51203,22,24645.4,435.23,Delivered,On Time
70000089,2025-09-25,100469,50836,3,69.93,7.26,Delivered,On Time
70000090,2024-05-01,100478,50929,1,887.44,69.21,Delivered,On Time
70000091,2025-12-13,104606,50921,2,2303.01,208.65,Delivered,Delayed
70000092,2024-09-10,103422,51542,44,44418.65,1885.92,Delivered,Delayed
70000093,2024-06-07,100581,51667,5,6233.96,319.4,Delivered,On Time
70000094,2025-03-06,101715,50039,1,25.71,4.5,Delivered,On Time
70000095,2023-04-06,102914,51786,1,689.09,31.73,Delivered,Delayed
70000096,2025-05-12,104158,50788,53,14108.7,1261.02,Delivered,Early
70000097,2023-08-10,100247,50512,3,61.87,5.95,Delivered,Early
70000098,2025-09-10,101163,51990,49,56476.42,3344.08,Delivered,On Time
70000099,2023-06-20,104445,50309,26,879.04,54.82,Delivered,Delayed
70000100,2023-11-03,100052,50698,9,5117.65,375.02,Delivered,On Time
70000101,2024-09-22,101022,51767,10,1679.36,95.6,Delivered,Delayed
70000102,2024-11-02,104765,50925,7,48.51,4.73,Delivered,On Time
70000103,2024-11-01,103026,51813,2,657.24,55.12,Delivered,Delayed
70000104,2023-06-15,101277,50513,2,2583.98,42.01,Delivered,On Time
70000105,2024-01-17,100383,50797,1,324.6,10.6,Delivered,On Time
70000106,2024-02-27,100159,50147,1,159.09,7.52,Returned,N/A
70000107,2023-06-22,101197,50883,4,4391.62,357.53,Cancelled,N/A
70000108,2024-03-14,104404,50002,9,3257.99,243.27,Delivered,Delayed
70000109,2025-11-29,102005,50687,17,7314.36,569.97,Cancelled,N/A
70000110,2025-01-12,103552,51423,32,22547.88,1347.35,Delivered,Delayed
70000111,2024-04-20,104580,51446,5,5323.26,95.96,Delivered,Early
70000112,2023-05-13,101954,50830,41,18790.89,843.54,Delivered,On Time
70000113,2025-03-15,100971,50037,49,24749.05,1764.42,Delivered,On Time
70000114,2025-08-03,102529,50323,59,2165.48,58.6,Delivered,Delayed
70000115,2023-04-21,104539,50515,1,818.71,13.99,Delivered,On Time
70000116,2023-04-06,103984,50045,6,4717.35,278.7,Delivered,On Time
70000117,2023-04-04,100376,50448,1,427.08,34.94,Delivered,Early
70000118,2023-04-15,103432,51040,8,8366.2,588.4,Delivered,On Time
70000119,2023-03-02,102803,50313,22,19578.69,790.47,Delivered,On Time
70000120,2023-10-10,104531,51748,1,754.28,61.34,Delivered,On Time
70000121,2023-04-04,100553,50170,2,1864.46,45.97,Delivered,Early
70000122,2025-06-08,102625,51525,1,632.96,33.47,Delivered,On Time
70000123,2025-08-19,104394,50873,4,4215.46,133.6,Delivered,Delayed
70000124,2023-04-05,101963,51183,4,3225.71,273.88,Delivered,Delayed
70000125,2023-05-25,102361,50936,11,6893.9,471.68,Delivered,Delayed
70000126,2024-12-04,100395,50830,2,894.04,33.76,Cancelled,N/A
70000127,2024-09-07,101355,51355,1,857.34,49.63,Delivered,Delayed
70000128,2025-07-10,101574,50477,8,2675.27,73.18,Delivered,Delayed
70000129,2023-10-31,104717,50944,1,464.49,6.15,Delivered,Early
70000130,2024-07-11,101376,51583,14,5909.9,292.48,Delivered,On Time
70000131,2023-05-17,102243,50334,2,1335.97,84.55,Delivered,Early
70000132,2024-09-08,103375,50243,37,21669.16,868.85,Delivered,On Time
70000133,2023-12-20,100799,51151,5,4113.75,240.12,Delivered,Delayed
70000134,2023-12-08,102394,51895,43,9884.09,317.41,Delivered,On Time
70000135,2023-08-21,103649,50830,7,3140.36,139.48,Delivered,Delayed
70000136,2025-05-25,104314,51609,1,830.46,40.34,Delivered,Delayed
70000137,2023-03-28,103092,50916,26,4395.09,294.93,Delivered,Delayed
70000138,2023-04-04,103360,50489,22,6341.17,475.09,Delivered,Delayed
70000139,2025-11-22,100577,50944,2,940.33,57.7,Delivered,On Time
70000140,2025-06-29,104717,50853,1,167.9,14.58,Delivered,On Time
70000141,2024-03-18,100627,50554,3,731.84,20.43,Delivered,On Time
70000142,2025-06-08,103818,50751,7,9883.52,554.3,Delivered,Delayed
70000143,2024-09-14,101301,50788,2,510.01,31.03,Delivered,Delayed
70000144,2024-08-26,104663,51745,43,52959.14,1735.14,Delivered,On Time
70000145,2025-05-03,103549,50659,18,6780.42,195.25,Delivered,On Time
70000146,2023-09-01,103709,51810,6,1834.84,90.3,Delivered,On Time
70000147,2025-09-11,101085,50038,10,8582.29,176.77,Cancelled,N/A
70000148,2023-08-01,102140,50317,4,1060.41,30.32,Delivered,Delayed
70000149,2023-01-22,103047,50075,15,8488.16,334.22,Delivered,On Time
70000150,2024-07-10,103795,51525,2,1230.26,62.94,Delivered,On Time
70000151,2023-11-14,100529,50312,23,17205.37,963.59,Delivered,On Time
70000152,2023-10-05,104789,51123,13,4582.02,137.0,Delivered,On Time
70000153,2025-08-02,104445,51525,1,585.66,30.11,Delivered,Early
70000154,2024-08-25,101333,50955,3,2243.66,206.03,Delivered,On Time
70000155,2023-05-21,104067,50253,8,5529.36,168.04,Delivered,On Time
70000156,2024-10-07,102529,51693,49,6081.65,324.68,Delivered,On Time
70000157,2025-10-30,102243,50422,1,1272.62,34.72,Delivered,Delayed
70000158,2023-07-02,101512,50247,1,829.24,37.74,Delivered,On Time
70000159,2023-09-04,102844,51525,1,583.42,37.52,Delivered,On Time
70000160,2024-10-23,103609,50082,27,16163.7,1231.72,Delivered,On Time
70000161,2023-07-22,101973,51193,2,2347.39,51.59,Cancelled,N/A
70000162,2023-10-19,103108,50818,1,1260.24,53.67,Delivered,On Time
70000163,2023-01-11,103451,50832,1,1343.61,118.91,Delivered,On Time
70000164,2024-10-28,103502,51579,2,2083.19,97.66,Delivered,On Time
70000165,2023-07-20,100280,50136,12,5645.42,356.77,Delivered,Delayed
70000166,2025-11-02,104271,51462,1,1154.52,98.96,Delivered,Delayed
70000167,2023-06-27,102229,51408,3,2504.15,95.24,Delivered,Early
70000168,2024-09-23,101279,51758,11,3442.56,208.77,Cancelled,N/A
70000169,2023-04-24,101185,51123,7,2455.5,119.39,Delivered,On Time
70000170,2023-09-12,102371,50341,45,34721.74,2759.93,Delivered,Delayed
70000171,2023-01-11,104438,50134,11,9191.8,752.65,Delivered,Delayed
70000172,2025-01-19,101827,50853,2,314.63,18.62,Delivered,Delayed
70000173,2024-08-11,103692,51432,9,9371.22,399.87,Delivered,On Time
70000174,2024-01-04,100503,50124,4,1666.12,128.27,Delivered,Early
70000175,2023-12-29,102321,50542,6,4360.61,316.98,Delivered,On Time
70000176,2025-01-29,104959,51525,12,7528.05,306.38,Delivered,On Time
70000177,2023-12-10,103801,50485,2,614.07,15.23,Delivered,On Time
70000178,2024-02-17,101054,50788,2,495.69,38.79,Cancelled,N/A
70000179,2024-12-01,102464,51473,58,34042.09,2405.8,Delivered,On Time
70000180,2023-03-27,101148,50830,1,434.52,24.26,Delivered,On Time
70000181,2023-03-16,101959,51525,18,11434.69,232.51,Delivered,On Time
70000182,2025-04-08,103852,50567,29,16330.52,860.65,Delivered,On Time
70000183,2023-05-26,103803,51884,4,1341.2,52.27,Delivered,Delayed
70000184,2025-01-13,101115,50246,2,2718.05,77.63,Delivered,Early
70000185,2024-09-17,104602,51486,28,7690.8,259.64,Delivered,Delayed
70000186,2023-12-18,102915,50201,3,1744.12,137.26,Delivered,On Time
70000187,2023-10-13,101830,51714,1,732.89,30.16,Delivered,Delayed
70000188,2024-09-10,102470,50323,1,39.27,7.39,Delivered,On Time
70000189,2025-02-25,102973,51123,5,1804.5,25.71,Delivered,On Time
70000190,2025-06-20,102771,50729,23,4964.5,327.04,Delivered,On Time
70000191,2025-08-01,102394,51159,54,58040.51,3777.78,Delivered,On Time
70000192,2025-07-15,102482,50139,5,5523.32,416.3,Delivered,On Time
70000193,2024-08-23,100868,51758,40,11742.26,837.33,Delivered,On Time
70000194,2025-02-05,104035,51420,3,1174.39,33.02,Delivered,Early
70000195,2023-02-10,102668,50747,6,6983.8,326.9,Delivered,On Time
70000196,2025-02-08,100615,50916,4,645.37,38.13,Delivered,On Time
70000197,2024-08-12,103775,51221,1,1349.1,77.26,Delivered,Delayed
70000198,2024-09-04,104654,51193,2,2193.54,85.03,Delivered,On Time
70000199,2024-11-24,104726,51248,15,4819.07,162.87,Delivered,On Time
70000200,2024-05-25,101772,50334,34,22935.44,1795.9,Delivered,On Time
70000201,2023-10-28,100653,51541,2,1487.69,47.91,Delivered,On Time
70000202,2024-04-29,102529,50887,2,211.99,12.92,Delivered,On Time
70000203,2024-10-16,100531,51561,1,515.55,13.83,Cancelled,N/A
70000204,2023-01-27,104664,51819,2,2454.34,218.47,Delivered,On Time
70000205,2025-07-14,100922,50264,4,3421.27,227.2,Delivered,On Time
70000206,2025-03-14,101228,50760,2,2114.31,165.01,Delivered,On Time
70000207,2025-01-12,101954,51059,24,11774.34,965.63,Delivered,On Time
70000208,2025-06-14,101849,50323,1,36.8,4.5,Delivered,On Time
70000209,2023-02-15,103924,50561,4,1140.56,89.95,Delivered,On Time
70000210,2023-11-27,102213,50143,1,1304.87,111.24,Delivered,On Time
70000211,2024-07-15,100843,51355,41,37426.85,1589.94,Delivered,On Time
70000212,2025-02-01,101314,50968,41,8812.12,624.85,Delivered,On Time
70000213,2025-05-16,102498,50098,1,792.88,26.35,Delivered,On Time
70000214,2023-11-29,100716,50650,47,56924.74,3357.22,Cancelled,N/A
70000215,2024-05-20,103006,50798,1,586.62,12.46,Delivered,Delayed
70000216,2024-01-29,102789,50743,7,6031.39,262.51,Delivered,On Time
70000217,2025-10-14,103514,50055,1,280.86,22.25,Delivered,On Time
70000218,2025-03-04,104682,50593,1,516.4,49.44,Delivered,Delayed
70000219,2023-07-14,104559,50208,4,408.49,5.92,Delivered,On Time
70000220,2024-06-28,104717,50022,1,376.06,4.89,Delivered,Delayed
70000221,2023-04-26,101197,50751,1,1516.57,134.78,Delivered,On Time
70000222,2023-08-18,100618,50788,8,1946.74,89.16,Delivered,On Time
70000223,2023-06-02,101464,51778,8,6235.39,146.18,Delivered,On Time
70000224,2024-05-22,104462,50317,18,4574.0,317.27,Delivered,Delayed
70000225,2025-11-13,104846,51394,16,12697.44,432.05,Delivered,On Time
70000226,2025-11-28,104271,50561,39,10803.32,950.64,Delivered,Delayed
70000227,2024-07-06,100531,50971,2,2311.87,159.0,Delivered,On Time
70000228,2025-03-25,104726,50830,25,11682.86,886.38,Delivered,On Time
70000229,2024-03-21,102044,50941,1,958.24,18.7,Delivered,On Time
70000230,2023-11-16,100052,51516,8,8168.7,560.04,Delivered,On Time
70000231,2024-12-14,102137,50056,1,1009.7,33.38,Delivered,On Time
70000232,2024-11-29,100256,50711,12,1214.99,26.51,Returned,N/A
70000233,2024-04-05,102690,50743,1,866.65,23.71,Delivered,On Time
70000234,2023-05-19,101638,50247,1,778.16,56.49,Delivered,On Time
70000235,2023-08-20,102314,50035,50,56001.86,3034.42,Delivered,Delayed
70000236,2025-12-20,103022,51431,7,7208.53,314.51,Delivered,Delayed
70000237,2024-04-01,104325,51758,2,609.74,53.57,Delivered,On Time
70000238,2024-02-10,103311,50670,3,2339.54,57.15,Delivered,On Time
70000239,2025-02-13,102103,51280,8,6106.38,125.19,Returned,N/A
70000240,2024-12-06,104059,51990,5,5796.12,142.77,Delivered,Delayed
70000241,2024-12-16,104521,50351,18,4623.69,236.94,Delivered,Delayed
70000242,2025-02-22,100536,50571,22,25504.64,1873.46,Delivered,On Time
70000243,2024-05-31,102613,51624,7,1275.61,109.52,Delivered,On Time
70000244,2024-03-17,101386,50010,27,21173.33,1442.62,Delivered,On Time
70000245,2023-05-25,100261,51123,2,707.26,54.79,Delivered,Delayed
70000246,2023-03-14,103358,50931,7,7954.0,486.35,Delivered,On Time
70000247,2024-03-29,104297,51434,45,3600.23,87.08,Cancelled,N/A
70000248,2024-07-19,100805,51053,2,2388.69,36.99,Delivered,Early
70000249,2025-11-14,104033,51014,10,189.37,15.45,Delivered,On Time
70000250,2023-05-17,104256,51420,1,376.51,12.37,Delivered,On Time
70000251,2024-02-18,104559,51112,26,7495.2,390.75,Delivered,On Time
70000252,2024-12-08,101305,51962,8,7564.95,362.28,Delivered,On Time
70000253,2025-03-13,104509,51394,21,16676.45,1060.32,Delivered,Delayed
70000254,2023-01-15,101550,51581,3,2119.86,150.37,Delivered,On Time
70000255,2024-07-13,102734,50822,8,5885.26,320.2,Cancelled,N/A
70000256,2025-12-20,100273,51884,8,2511.99,155.62,Delivered,On Time
70000257,2025-09-19,100248,50881,35,42990.68,3112.95,Delivered,On Time
70000258,2025-07-15,103552,50747,9,10654.19,194.01,Delivered,On Time
70000259,2023-10-10,102152,51839,2,649.09,40.98,Delivered,On Time
70000260,2024-09-21,101240,50788,4,1031.29,80.46,Delivered,On Time
70000261,2025-06-23,100964,50785,16,8556.01,195.43,Cancelled,N/A
70000262,2025-03-18,103364,51119,7,7629.13,553.73,Delivered,Early
70000263,2024-12-27,100001,51729,22,13233.78,874.44,Delivered,On Time
70000264,2023-09-26,103994,50713,5,73.17,6.89,Cancelled,N/A
70000265,2025-09-20,100441,51663,59,77431.15,6935.9,Delivered,Delayed
70000266,2024-01-23,100971,50346,24,26892.18,2111.08,Delivered,Delayed
70000267,2023-07-19,101864,50351,7,1726.57,88.93,Delivered,Delayed
70000268,2024-01-23,102381,50883,7,8064.49,326.17,Delivered,On Time
70000269,2025-05-04,101715,50561,3,904.89,60.03,Delivered,Delayed
70000270,2025-08-01,101550,50943,3,425.73,15.88,Delivered,On Time
70000271,2025-01-04,104802,50037,50,25145.67,658.36,Delivered,Delayed
70000272,2025-03-13,103191,50572,3,166.2,10.26,Cancelled,N/A
70000273,2023-02-13,100139,51856,7,604.7,42.12,Delivered,Delayed
70000274,2023-08-08,102083,51758,10,3174.33,262.45,Delivered,On Time
70000275,2025-05-08,104355,50085,8,7293.75,127.56,Delivered,On Time
70000276,2025-07-24,101464,51578,17,23109.71,1330.4,Delivered,Delayed
70000277,2024-09-25,100498,50863,7,8395.68,425.2,Delivered,On Time
70000278,2023-03-02,103725,51619,2,2022.66,143.41,Delivered,On Time
70000279,2024-03-10,102979,50577,8,1041.28,58.94,Returned,N/A
70000280,2024-05-08,102801,51113,4,2946.08,153.45,Delivered,Delayed
70000281,2025-01-22,100296,51962,2,1863.28,122.75,Delivered,Delayed
70000282,2023-05-03,100678,50709,1,928.38,53.1,Delivered,On Time
70000283,2024-05-21,103075,51758,20,6221.69,135.42,Cancelled,N/A
70000284,2025-01-28,101053,51758,18,5739.53,172.17,Delivered,On Time
70000285,2025-04-27,102477,50334,56,40586.91,1990.63,Delivered,On Time
70000286,2025-10-11,102694,50520,4,3048.0,203.42,Delivered,Early
70000287,2023-03-13,101382,50317,10,2516.41,194.62,Delivered,On Time
70000288,2023-03-29,104732,50593,52,27210.31,580.64,Delivered,On Time
70000289,2024-07-21,104181,51042,19,3156.29,192.63,Delivered,On Time
70000290,2024-08-03,103569,51818,2,1813.31,120.0,Delivered,Delayed
70000291,2025-08-12,100437,50788,2,529.34,28.8,Delivered,Early
70000292,2024-03-19,100531,51963,14,9113.54,732.46,Delivered,Early
70000293,2024-08-07,102429,50788,51,12950.76,299.24,Delivered,On Time
70000294,2024-09-16,100795,51123,1,361.91,17.5,Delivered,On Time
70000295,2025-04-26,104882,51896,1,687.63,13.82,Delivered,On Time
70000296,2024-08-18,100781,51148,1,700.91,51.81,Delivered,On Time
70000297,2024-03-08,102404,50788,35,8858.95,457.89,Delivered,Early
70000298,2025-04-18,101740,51049,10,9879.38,538.94,Delivered,Delayed
70000299,2025-08-21,103177,51103,11,6893.1,218.63,Delivered,Delayed
70000300,2024-05-09,100594,50273,13,10823.76,444.11,Delivered,On Time
70000301,2025-05-06,102083,50796,13,648.02,42.4,Delivered,Delayed
70000302,2023-02-05,101341,51049,52,51307.73,3525.05,Delivered,On Time
70000303,2023-09-11,104438,51525,2,1227.92,18.19,Delivered,On Time
70000304,2025-02-17,100240,50022,7,2842.12,55.48,Delivered,On Time
70000305,2025-02-04,104559,51608,8,1033.14,21.46,Delivered,On Time
70000306,2024-09-26,104138,50567,1,528.91,13.22,Delivered,Early
70000307,2024-04-25,101452,51426,2,1756.65,135.79,Delivered,Early
70000308,2025-06-16,103905,51525,2,1283.03,55.8,Delivered,On Time
70000309,2023-04-05,100182,51745,15,17405.9,1307.69,Delivered,On Time
70000310,2025-11-22,104815,51862,1,936.74,73.09,Delivered,On Time
70000311,2025-01-18,102575,51758,3,899.01,42.19,Delivered,On Time
70000312,2025-02-01,101464,51232,3,618.84,44.1,Delivered,On Time
70000313,2023-07-20,101728,51449,3,1162.99,74.13,Delivered,Delayed
70000314,2025-09-12,100380,51399,2,1687.37,35.04,Delivered,On Time
70000315,2025-07-19,104945,51021,8,4357.83,106.26,Delivered,On Time
70000316,2023-04-01,100229,51525,2,1201.51,95.98,Returned,N/A
70000317,2025-05-15,103287,50883,23,25877.01,896.73,Delivered,Delayed
70000318,2025-05-31,102139,51632,21,12854.94,1105.43,Delivered,On Time
70000319,2024-09-10,104733,51468,27,16515.14,1283.42,Delivered,On Time
70000320,2024-06-05,101206,50958,9,1014.5,74.48,Delivered,On Time
70000321,2024-05-04,102614,51012,5,2673.55,48.01,Returned,N/A
70000322,2025-09-03,102367,51258,21,19671.25,353.73,Delivered,On Time
70000323,2023-11-24,103474,50725,1,618.8,37.85,Delivered,On Time
70000324,2025-10-20,100389,51118,8,3856.9,155.02,Delivered,On Time
70000325,2024-05-03,100990,51758,4,1245.76,78.99,Delivered,On Time
70000326,2024-10-31,101065,50670,2,1569.69,64.93,Delivered,Early
70000327,2025-09-07,103649,51377,1,19.18,4.5,Delivered,On Time
70000328,2024-05-16,100953,50118,1,737.66,42.25,Delivered,On Time
70000329,2025-04-07,102807,50317,3,763.35,44.22,Delivered,Early
70000330,2024-06-04,101074,51758,24,7264.9,330.11,Delivered,On Time
70000331,2023-12-07,104289,51765,5,3289.08,239.7,Delivered,Delayed
70000332,2024-07-04,104705,51123,5,1655.76,63.34,Cancelled,N/A
70000333,2024-07-05,102529,51132,7,7865.58,694.87,Delivered,On Time
70000334,2025-03-10,101698,50798,1,589.51,11.89,Delivered,On Time
70000335,2024-12-26,101149,51131,13,1524.67,31.27,Delivered,Early
70000336,2024-12-23,100270,51758,14,4410.85,301.63,Delivered,On Time
70000337,2024-03-31,101324,50334,2,1386.87,107.91,Delivered,On Time
70000338,2023-03-30,103282,50975,3,2580.95,71.24,Delivered,On Time
70000339,2023-03-26,102623,51758,11,3377.94,264.59,Cancelled,N/A
70000340,2023-07-03,104717,50193,41,32612.39,2365.81,Delivered,On Time
70000341,2024-02-11,101912,50406,14,17924.48,303.1,Delivered,On Time
70000342,2023-09-19,103439,51012,11,5975.26,327.04,Delivered,Delayed
70000343,2025-04-10,102408,51193,17,19239.06,1568.51,Delivered,Delayed
70000344,2024-06-23,102511,51410,2,795.88,42.27,Delivered,Delayed
70000345,2023-09-03,101321,50371,20,20104.49,1649.71,Delivered,Delayed
70000346,2024-06-10,102209,51137,9,6447.16,385.69,Delivered,On Time
70000347,2024-09-21,102296,50743,2,1736.87,145.05,Delivered,On Time
70000348,2024-05-28,103496,50686,1,927.68,57.05,Returned,N/A
70000349,2025-11-19,104699,50179,20,3696.81,189.28,Delivered,On Time
70000350,2023-09-23,101591,50312,33,24658.76,1165.12,Delivered,Delayed
70000351,2024-02-28,100242,51559,3,3279.45,213.33,Delivered,On Time
70000352,2024-01-23,102442,50883,21,22549.41,1560.14,Delivered,Early
70000353,2023-07-27,102694,51475,1,905.15,48.82,Cancelled,N/A
70000354,2024-12-24,100828,51623,10,7329.15,305.44,Delivered,On Time
70000355,2023-08-23,103738,51542,1,1024.16,24.13,Delivered,Delayed
70000356,2023-05-25,104923,51948,3,2209.1,127.03,Delivered,On Time
70000357,2024-09-23,104717,50561,1,301.61,26.91,Delivered,On Time
70000358,2024-03-24,101007,50201,1,595.78,49.93,Delivered,On Time
70000359,2024-01-28,104358,51038,47,19411.27,689.41,Delivered,On Time
70000360,2024-09-07,103483,51893,18,6109.86,118.08,Delivered,On Time
70000361,2024-11-28,102204,50409,50,28036.71,1039.8,Delivered,On Time
70000362,2024-01-12,102660,51103,36,20982.86,1320.08,Delivered,On Time
70000363,2023-07-18,104233,50798,36,20435.04,1403.06,Delivered,On Time
70000364,2023-01-21,102351,51207,34,6337.99,303.87,Delivered,On Time
70000365,2023-10-08,101795,50836,3,70.25,7.04,Delivered,Delayed
70000366,2023-02-04,102431,51966,15,7460.23,399.37,Delivered,On Time
70000367,2024-07-06,102836,51525,12,7144.57,505.13,Delivered,On Time
70000368,2023-06-15,100952,51525,2,1217.71,85.05,Delivered,Delayed
70000369,2024-10-27,104484,50788,2,522.82,32.1,Delivered,Delayed
70000370,2025-02-08,103394,51518,1,1007.97,15.67,Delivered,On Time
70000371,2024-08-02,103132,51036,14,868.64,56.71,Delivered,On Time
70000372,2025-03-19,100512,51745,1,1219.77,31.49,Delivered,Delayed
70000373,2024-10-05,102968,51525,4,2424.82,206.94,Delivered,On Time
