Product_ID,Product_Name,Category,Subcategory,Supplier_ID,Unit_Cost,Unit_Price
50022,Industrial Strapping Kit,Packaging,Strapping Kit,3014,266.26,392.99
50023,Heavy-Duty LED Work Light,Electrical,LED Work Light,3244,328.96,506.65
50024,Reinforced Fall Protection Harness - 5056 lb,Safety Equipment,Fall Protection Harness,3115,427.91,739.8
50025,Standard Modular Drawer System - S,Storage,Modular Drawer System,3112,36.63,58.75
50026,Standard Utility Cart - 26 pc,Material Handling,Utility Cart,3161,578.19,737.88
50027,Standard Commercial Extension Cord - 37 pc,Electrical,Commercial Extension Cord,3246,216.81,363.33
50028,Heavy-Duty Utility Cart - 2641 lb,Material Handling,Utility Cart,3021,112.66,180.75
50029,Premium Shipping Label Printer,Packaging,Shipping Label Printer,3092,550.36,804.46
50030,Industrial Respirator Masks - 2899 lb,Safety Equipment,Respirator Masks,3039,166.03,290.55
50031,Heavy-Duty Stackable Tote,Storage,Stackable Tote,3041,114.43,164.59
50032,Reinforced Drum Handler,Material Handling,Drum Handler,3060,351.29,557.91
50033,Industrial Microfiber Cloth Pack - XL,Cleaning & Facility,Microfiber Cloth Pack,3120,265.46,439.15
50034,Reinforced Torque Wrench Set - 2408 lb,Tools,Torque Wrench Set,3041,429.21,626.36
50035,Reinforced Hydraulic Jack - 527 lb,Tools,Hydraulic Jack,3026,743.44,1135.43
50036,Heavy-Duty Stackable Tote,Storage,Stackable Tote,3242,128.23,188.34
50037,Multi-Pack Hydraulic Jack,Tools,Hydraulic Jack,3098,339.1,487.28
50038,Compact Stackable Tote - 22 pc,Storage,Stackable Tote,3073,673.4,888.08
50039,Multi-Pack Floor Scrubber Pads,Cleaning & Facility,Floor Scrubber Pads,3038,19.59,26.6
50040,Industrial Hex Bolt Set,Fasteners,Hex Bolt Set,3159,205.34,322.28
50041,Heavy-Duty Industrial Mop,Cleaning & Facility,Industrial Mop,3183,538.45,827.88
50042,Premium Utility Cart - S,Material Handling,Utility Cart,3171,486.57,653.78
50043,Standard Storage Cabinet,Storage,Storage Cabinet,3005,669.2,1006.35
50044,Rivet Kit,Fasteners,Rivet Kit,3061,305.78,392.55
50045,Reinforced Modular Drawer System - 10 pc,Storage,Modular Drawer System,3044,465.7,771.55
50046,Commercial-Grade Degreaser Concentrate,Cleaning & Facility,Degreaser Concentrate,3051,251.9,320.39
50047,Industrial Respirator Masks - 36 pc,Safety Equipment,Respirator Masks,3073,34.5,54.28
50048,Standard Commercial Extension Cord - 3114 lb,Electrical,Commercial Extension Cord,3229,756.45,1226.7
50049,Commercial-Grade Self-Tapping Screws - 46 pc,Fasteners,Self-Tapping Screws,3205,785.93,1186.47
50050,Premium Bulk Storage Container - S,Storage,Bulk Storage Container,3020,465.24,656.27
50051,Industrial Cable Management Tray - 5036 lb,Electrical,Cable Management Tray,3114,144.56,212.79
50052,Reinforced Respirator Masks,Safety Equipment,Respirator Masks,3093,67.02,105.14
50053,Commercial-Grade Pallet Jack,Material Handling,Pallet Jack,3092,203.27,319.66
50054,Washer Assortment - 45 pc,Fasteners,Washer Assortment,3146,318.41,519.5
50055,Standard Conveyor Roller - 22 pc,Material Handling,Conveyor Roller,3188,214.8,280.68
50056,Extra-Large Forklift Attachment - 37 pc,Material Handling,Forklift Attachment,3054,659.51,1056.55
50057,Multi-Pack Poly Mailer,Packaging,Poly Mailer,3113,386.15,656.2
50058,Standard Modular Drawer System,Storage,Modular Drawer System,3217,462.45,784.16
50059,Commercial-Grade Dock Plate,Material Handling,Dock Plate,3060,837.41,1378.4
50060,Standard Industrial Mop - L,Cleaning & Facility,Industrial Mop,3079,521.51,674.37
50061,Extra-Large Rivet Kit,Fasteners,Rivet Kit,3018,109.59,154.36
50062,Extra-Large Degreaser Concentrate,Cleaning & Facility,Degreaser Concentrate,3110,157.53,273.02
50063,Extra-Large Hard Hats - M,Safety Equipment,Hard Hats,3088,276.63,443.9
50064,Heavy-Duty Strapping Kit,Packaging,Strapping Kit,3157,235.82,368.47
50065,Commercial-Grade Storage Cabinet,Storage,Storage Cabinet,3215,613.52,952.53
50066,Heavy-Duty Safety Vests - 43 pc,Safety Equipment,Safety Vests,3106,554.68,906.06
50067,Extra-Large Fall Protection Harness - 2574 lb,Safety Equipment,Fall Protection Harness,3103,210.79,348.58
50068,Heavy-Duty Bubble Wrap Roll - 3701 lb,Packaging,Bubble Wrap Roll,3155,413.42,558.95
50069,Standard Utility Cart - 27 pc,Material Handling,Utility Cart,3061,439.43,572.62
50070,Industrial Industrial Mop,Cleaning & Facility,Industrial Mop,3221,46.34,79.83
50071,Commercial-Grade Anchor Bolt Kit - L,Fasteners,Anchor Bolt Kit,3131,649.48,973.66
50072,Industrial Degreaser Concentrate - 837 lb,Cleaning & Facility,Degreaser Concentrate,3055,431.36,747.69
50073,Commercial Extension Cord - 4994 lb,Electrical,Commercial Extension Cord,3027,245.39,307.74
50074,Industrial Anchor Bolt Kit - 50 pc,Fasteners,Anchor Bolt Kit,3143,41.8,53.32
50075,Extra-Large Torque Wrench Set,Tools,Torque Wrench Set,3211,384.72,586.67
50076,Heavy-Duty Steel Shelving Unit,Storage,Steel Shelving Unit,3050,798.32,1299.25
50077,Washer Assortment - 4 pc,Fasteners,Washer Assortment,3038,684.06,1032.7
50078,Reinforced Utility Cart,Material Handling,Utility Cart,3086,629.33,880.82
50079,Industrial Microfiber Cloth Pack - 3 pc,Cleaning & Facility,Microfiber Cloth Pack,3149,573.88,998.52
50080,Strapping Kit,Packaging,Strapping Kit,3149,492.47,793.22
50081,Extra-Large Floor Scrubber Pads,Cleaning & Facility,Floor Scrubber Pads,3048,488.18,781.22
50082,Standard Fall Protection Harness - XL,Safety Equipment,Fall Protection Harness,3235,350.88,574.56
50083,Commercial-Grade Industrial Mop - 2762 lb,Cleaning & Facility,Industrial Mop,3044,448.32,630.73
50084,Standard Microfiber Cloth Pack - 45 pc,Cleaning & Facility,Microfiber Cloth Pack,3063,519.93,699.89
50085,Industrial Shipping Label Printer - M,Packaging,Shipping Label Printer,3122,587.79,878.45
50086,Industrial Power Strip,Electrical,Power Strip,3209,324.91,565.37
50087,Industrial Circuit Breaker - 20 pc,Electrical,Circuit Breaker,3191,785.67,1239.78
50088,Compact Floor Scrubber Pads - L,Cleaning & Facility,Floor Scrubber Pads,3061,95.96,155.5
50089,Extra-Large Cordless Drill,Tools,Cordless Drill,3120,88.32,124.99
50090,Commercial-Grade Bulk Storage Container - 1393 lb,Storage,Bulk Storage Container,3121,556.17,940.11
50091,Industrial Floor Scrubber Pads,Cleaning & Facility,Floor Scrubber Pads,3146,772.07,999.62
50092,Tool Chest,Tools,Tool Chest,3126,847.61,1227.76
50093,Industrial Dock Plate,Material Handling,Dock Plate,3085,513.76,880.7
50094,Extra-Large Bubble Wrap Roll - 4230 lb,Packaging,Bubble Wrap Roll,3084,234.46,387.89
50095,Multi-Pack Dock Plate,Material Handling,Dock Plate,3145,627.05,1031.74
50096,Reinforced Impact Wrench - 29 pc,Tools,Impact Wrench,3047,76.92,121.89
50097,Standard Forklift Attachment - 2236 lb,Material Handling,Forklift Attachment,3244,202.87,330.04
50098,Reinforced LED Work Light - 18 pc,Electrical,LED Work Light,3030,589.93,755.74
50099,Commercial-Grade Trash Receptacle - 45 pc,Cleaning & Facility,Trash Receptacle,3240,587.83,922.51
50100,Reinforced Packing Tape - 1194 lb,Packaging,Packing Tape,3155,133.17,216.25
50101,Extra-Large Wire Connector Kit - XL,Electrical,Wire Connector Kit,3152,648.41,1031.08
50102,Multi-Pack Storage Cabinet,Storage,Storage Cabinet,3129,55.78,85.0
50103,Extra-Large Tool Chest,Tools,Tool Chest,3183,377.52,600.31
50104,Extra-Large Industrial Mop - XL,Cleaning & Facility,Industrial Mop,3014,437.96,647.48
50105,Trash Receptacle - XL,Cleaning & Facility,Trash Receptacle,3088,493.04,627.46
50106,Storage Cabinet - 32 pc,Storage,Storage Cabinet,3196,349.61,571.43
50107,Premium Self-Tapping Screws,Fasteners,Self-Tapping Screws,3138,581.43,919.18
50108,Standard Dock Plate - 4501 lb,Material Handling,Dock Plate,3057,451.17,728.16
50109,Industrial Safety Vests - 4560 lb,Safety Equipment,Safety Vests,3063,453.78,754.04
50110,Commercial-Grade Trash Receptacle,Cleaning & Facility,Trash Receptacle,3196,688.72,1005.27
50111,Compact Safety Goggles,Safety Equipment,Safety Goggles,3223,381.41,604.92
50112,Safety Goggles,Safety Equipment,Safety Goggles,3014,187.42,315.22
50113,Industrial Conveyor Roller - 48 pc,Material Handling,Conveyor Roller,3209,492.33,805.58
50114,Industrial Circuit Breaker - M,Electrical,Circuit Breaker,3142,353.58,490.62
50115,Premium Dock Plate - 2921 lb,Material Handling,Dock Plate,3106,668.68,942.42
50116,Industrial Anchor Bolt Kit - 4506 lb,Fasteners,Anchor Bolt Kit,3219,207.48,282.73
50117,Multi-Pack Drum Handler - 3480 lb,Material Handling,Drum Handler,3062,475.24,625.91
50118,Standard Stretch Wrap Roll,Packaging,Stretch Wrap Roll,3013,456.92,760.64
50119,Reinforced Bubble Wrap Roll,Packaging,Bubble Wrap Roll,3122,616.62,943.07
50120,Standard Hydraulic Jack - L,Tools,Hydraulic Jack,3193,817.9,1070.35
50121,Reinforced Floor Scrubber Pads,Cleaning & Facility,Floor Scrubber Pads,3119,275.75,383.71
50122,Industrial LED Work Light - 4173 lb,Electrical,LED Work Light,3120,86.97,151.39
50123,Standard Circuit Breaker,Electrical,Circuit Breaker,3004,734.95,1191.08
50124,Reinforced Shipping Label Printer - XL,Packaging,Shipping Label Printer,3213,282.73,407.11
50125,Extra-Large Angle Grinder - 4102 lb,Tools,Angle Grinder,3090,393.59,636.19
50126,Extra-Large Hand Truck,Material Handling,Hand Truck,3019,447.02,746.32
50127,Premium Safety Vests,Safety Equipment,Safety Vests,3129,602.12,755.4
50128,Trash Receptacle,Cleaning & Facility,Trash Receptacle,3003,9.1,13.88
50129,Extra-Large Ear Protection - 4214 lb,Safety Equipment,Ear Protection,3027,685.92,1169.42
50130,Commercial-Grade Storage Cabinet,Storage,Storage Cabinet,3203,217.17,309.95
50131,Standard Hex Bolt Set - XL,Fasteners,Hex Bolt Set,3175,841.73,1147.22
50132,Bulk Storage Container - 3206 lb,Storage,Bulk Storage Container,3002,471.36,602.43
50133,Multi-Pack Pallet Jack,Material Handling,Pallet Jack,3229,830.81,1443.05
50134,Compact Safety Goggles,Safety Equipment,Safety Goggles,3139,582.87,810.3
50135,Standard Protective Gloves - S,Safety Equipment,Protective Gloves,3101,640.28,1028.52
50136,Commercial-Grade Stackable Tote,Storage,Stackable Tote,3035,284.31,462.8
50137,Standard Storage Cabinet - S,Storage,Storage Cabinet,3196,713.44,1013.3
50138,Self-Tapping Screws - L,Fasteners,Self-Tapping Screws,3110,304.69,524.24
50139,Reinforced Dock Plate - 7 pc,Material Handling,Dock Plate,3021,679.05,1090.93
50140,Premium Stretch Wrap Roll - 49 pc,Packaging,Stretch Wrap Roll,3241,308.83,400.17
50141,Standard Bubble Wrap Roll,Packaging,Bubble Wrap Roll,3142,162.13,239.05
50142,Hex Bolt Set,Fasteners,Hex Bolt Set,3221,508.8,835.56
50143,Industrial Hex Bolt Set,Fasteners,Hex Bolt Set,3146,769.76,1338.68
50144,Premium Dock Plate - 10 pc,Material Handling,Dock Plate,3042,230.71,305.22
50145,Premium Self-Tapping Screws - 32 pc,Fasteners,Self-Tapping Screws,3160,216.56,297.4
50146,Reinforced Microfiber Cloth Pack - M,Cleaning & Facility,Microfiber Cloth Pack,3085,261.39,450.74
50147,Multi-Pack Self-Tapping Screws,Fasteners,Self-Tapping Screws,3242,118.73,167.45
50148,Standard Angle Grinder - 27 pc,Tools,Angle Grinder,3247,625.57,979.92
50149,Premium Torque Wrench Set,Tools,Torque Wrench Set,3139,792.49,1069.78
50150,Extra-Large Dock Plate - S,Material Handling,Dock Plate,3177,374.65,522.89
50151,Premium Modular Drawer System - 10 pc,Storage,Modular Drawer System,3183,208.37,329.09
50152,Heavy-Duty Rivet Kit,Fasteners,Rivet Kit,3235,342.78,515.3
50153,Washer Assortment,Fasteners,Washer Assortment,3196,543.72,702.75
50154,Standard Socket Set,Tools,Socket Set,3165,480.27,755.23
50155,Premium Self-Tapping Screws - 2 pc,Fasteners,Self-Tapping Screws,3142,191.42,310.76
50156,Standard Angle Grinder,Tools,Angle Grinder,3123,131.11,229.29
50157,Premium Stackable Tote - 9 pc,Storage,Stackable Tote,3052,267.52,395.31
50158,Multi-Pack Trash Receptacle - 30 pc,Cleaning & Facility,Trash Receptacle,3181,60.36,76.8
50159,Standard Storage Bin - S,Storage,Storage Bin,3084,440.29,671.86
50160,Compact Rivet Kit - XL,Fasteners,Rivet Kit,3007,545.67,799.99
50161,Reinforced Angle Grinder - XL,Tools,Angle Grinder,3207,177.7,288.97
50162,Heavy-Duty Storage Cabinet - M,Storage,Storage Cabinet,3220,390.82,539.79
50163,Standard Microfiber Cloth Pack,Cleaning & Facility,Microfiber Cloth Pack,3117,100.2,142.88
50164,Industrial Drum Handler - 45 pc,Material Handling,Drum Handler,3046,103.27,144.86
50165,Commercial-Grade Cable Management Tray - XL,Electrical,Cable Management Tray,3124,490.07,716.25
50166,Commercial-Grade Conveyor Roller - XL,Material Handling,Conveyor Roller,3013,269.79,398.08
50167,Multi-Pack Commercial Extension Cord,Electrical,Commercial Extension Cord,3175,431.35,645.94
50168,Multi-Pack Degreaser Concentrate,Cleaning & Facility,Degreaser Concentrate,3074,29.62,48.3
50169,Compact Ear Protection,Safety Equipment,Ear Protection,3140,632.04,1032.1
50170,Heavy-Duty Storage Cabinet,Storage,Storage Cabinet,3184,699.84,889.36
50171,Compact Microfiber Cloth Pack - XL,Cleaning & Facility,Microfiber Cloth Pack,3115,255.51,447.05
50172,Heavy-Duty Packing Tape - XL,Packaging,Packing Tape,3089,689.76,1064.96
50173,Reinforced Anchor Bolt Kit,Fasteners,Anchor Bolt Kit,3152,486.07,736.95
50174,Industrial Utility Cart,Material Handling,Utility Cart,3024,837.72,1331.68
50175,Premium Drum Handler - S,Material Handling,Drum Handler,3037,597.26,786.2
50176,Premium Circuit Breaker - 11 pc,Electrical,Circuit Breaker,3019,534.94,769.02
50177,Extra-Large Wire Shelving - 3123 lb,Storage,Wire Shelving,3000,807.89,1142.07
50178,Multi-Pack Bulk Storage Container - 4478 lb,Storage,Bulk Storage Container,3054,187.89,275.23
50179,Standard Trash Receptacle,Cleaning & Facility,Trash Receptacle,3201,114.05,191.17
50180,Cable Management Tray - 5229 lb,Electrical,Cable Management Tray,3040,17.28,29.63
50181,Degreaser Concentrate - 14 pc,Cleaning & Facility,Degreaser Concentrate,3070,138.07,236.98
50182,Standard Bulk Storage Container - L,Storage,Bulk Storage Container,3185,47.34,73.98
50183,Heavy-Duty Angle Grinder - 1848 lb,Tools,Angle Grinder,3132,69.48,107.47
50184,Industrial Mop - L,Cleaning & Facility,Industrial Mop,3022,407.87,556.53
50185,Standard Storage Bin - 1223 lb,Storage,Storage Bin,3034,658.23,1070.66
50186,Extra-Large Pallet Jack - S,Material Handling,Pallet Jack,3160,376.04,605.88
50187,Reinforced Forklift Attachment,Material Handling,Forklift Attachment,3186,122.02,160.04
50188,Premium Self-Tapping Screws - 10 pc,Fasteners,Self-Tapping Screws,3153,549.17,754.61
50189,Strapping Kit,Packaging,Strapping Kit,3075,434.81,706.1
50190,Multi-Pack Safety Goggles - 2074 lb,Safety Equipment,Safety Goggles,3227,543.64,698.85
50191,Standard Respirator Masks - 4756 lb,Safety Equipment,Respirator Masks,3195,312.82,497.84
50192,Industrial Mop - S,Cleaning & Facility,Industrial Mop,3202,37.21,47.64
50193,Industrial Washer Assortment,Fasteners,Washer Assortment,3039,545.71,828.84
50194,Industrial Corrugated Shipping Box - S,Packaging,Corrugated Shipping Box,3162,457.55,661.33
50195,Premium Stackable Tote,Storage,Stackable Tote,3156,786.2,1028.34
50196,Commercial-Grade Ear Protection,Safety Equipment,Ear Protection,3133,142.18,245.47
50197,Standard Stretch Wrap Roll,Packaging,Stretch Wrap Roll,3206,656.52,830.29
50198,Extra-Large Self-Tapping Screws,Fasteners,Self-Tapping Screws,3014,423.49,637.52
50199,Commercial-Grade Microfiber Cloth Pack,Cleaning & Facility,Microfiber Cloth Pack,3029,760.5,1206.96
50200,Extra-Large Socket Set - S,Tools,Socket Set,3235,42.42,60.74
50201,Hand Truck - XL,Material Handling,Hand Truck,3069,355.86,572.99
50202,Standard Storage Cabinet - S,Storage,Storage Cabinet,3011,192.43,290.16
50203,Multi-Pack Hex Bolt Set,Fasteners,Hex Bolt Set,3051,471.69,591.49
50204,Industrial Shipping Label Printer,Packaging,Shipping Label Printer,3198,826.18,1444.9
50205,Extra-Large Socket Set - 152 lb,Tools,Socket Set,3162,23.74,36.1
50206,Respirator Masks,Safety Equipment,Respirator Masks,3107,177.2,308.6
50207,Commercial-Grade Industrial Mop - L,Cleaning & Facility,Industrial Mop,3179,763.05,1152.11
50208,Heavy-Duty Wire Connector Kit - 1193 lb,Electrical,Wire Connector Kit,3111,66.84,102.53
50209,Industrial Hand Truck - 22 pc,Material Handling,Hand Truck,3019,272.74,378.01
50210,Reinforced Impact Wrench - S,Tools,Impact Wrench,3030,384.06,540.38
50211,Multi-Pack Circuit Breaker,Electrical,Circuit Breaker,3077,80.04,132.37
50212,Standard Safety Goggles - 7 pc,Safety Equipment,Safety Goggles,3076,338.92,431.95
50213,Commercial-Grade Strapping Kit,Packaging,Strapping Kit,3118,636.75,875.48
50214,Commercial-Grade Modular Drawer System - S,Storage,Modular Drawer System,3095,114.15,189.7
50215,Reinforced Storage Cabinet,Storage,Storage Cabinet,3207,170.9,268.82
50216,Standard Pallet Jack,Material Handling,Pallet Jack,3210,145.7,223.93
50217,Rivet Kit - XL,Fasteners,Rivet Kit,3070,303.11,516.55
50218,Commercial-Grade Bubble Wrap Roll,Packaging,Bubble Wrap Roll,3105,211.56,295.67
50219,Heavy-Duty Industrial Mop - 1224 lb,Cleaning & Facility,Industrial Mop,3134,172.34,291.66
50220,Extra-Large Socket Set - 3041 lb,Tools,Socket Set,3233,464.43,693.09
50221,Industrial Wire Connector Kit,Electrical,Wire Connector Kit,3199,188.9,320.73
50222,Multi-Pack Corrugated Shipping Box - L,Packaging,Corrugated Shipping Box,3068,88.26,139.31
50223,Reinforced Safety Goggles - XL,Safety Equipment,Safety Goggles,3188,203.74,287.07
50224,Power Strip - L,Electrical,Power Strip,3207,480.17,645.4
50225,Industrial Microfiber Cloth Pack,Cleaning & Facility,Microfiber Cloth Pack,3005,51.05,79.17
50226,Standard Industrial Mop - M,Cleaning & Facility,Industrial Mop,3082,781.25,1306.36
50227,Commercial-Grade Safety Vests - 9 pc,Safety Equipment,Safety Vests,3241,816.61,1173.3
50228,Heavy-Duty Washer Assortment - L,Fasteners,Washer Assortment,3111,829.57,1340.73
50229,Commercial-Grade Trash Receptacle - L,Cleaning & Facility,Trash Receptacle,3075,323.8,523.58
50230,Hand Truck - XL,Material Handling,Hand Truck,3247,513.42,878.21
50231,Reinforced Socket Set - 33 pc,Tools,Socket Set,3081,634.43,868.53
50232,Heavy-Duty Dock Plate - 30 pc,Material Handling,Dock Plate,3089,181.0,288.98
50233,Heavy-Duty Strapping Kit - 3261 lb,Packaging,Strapping Kit,3226,623.63,1081.72
50234,Premium Rivet Kit,Fasteners,Rivet Kit,3147,705.09,1159.43
50235,Multi-Pack Impact Wrench,Tools,Impact Wrench,3018,273.29,471.65
50236,Premium Circuit Breaker,Electrical,Circuit Breaker,3086,800.76,1392.54
50237,Premium Industrial Mop - M,Cleaning & Facility,Industrial Mop,3249,48.83,69.12
50238,Extra-Large Angle Grinder - 44 pc,Tools,Angle Grinder,3146,204.58,260.8
50239,Floor Scrubber Pads,Cleaning & Facility,Floor Scrubber Pads,3153,252.84,399.74
50240,Heavy-Duty Floor Scrubber Pads - 15 pc,Cleaning & Facility,Floor Scrubber Pads,3029,830.58,1234.89
50241,Premium Strapping Kit,Packaging,Strapping Kit,3094,546.84,789.51
50242,Commercial-Grade Self-Tapping Screws - 2256 lb,Fasteners,Self-Tapping Screws,3068,397.17,541.39
50243,Heavy-Duty Protective Gloves,Safety Equipment,Protective Gloves,3058,353.94,576.3
50244,Extra-Large First Aid Kits,Safety Equipment,First Aid Kits,3020,749.82,1115.83
50245,Extra-Large Hex Bolt Set - M,Fasteners,Hex Bolt Set,3054,806.88,1076.04
50246,Impact Wrench - XL,Tools,Impact Wrench,3213,847.69,1325.46
50247,Heavy-Duty Packing Tape - 4657 lb,Packaging,Packing Tape,3133,470.81,790.17
50248,Reinforced Industrial Mop - XL,Cleaning & Facility,Industrial Mop,3194,128.95,199.09
50249,Reinforced Storage Bin - 20 pc,Storage,Storage Bin,3167,746.64,1031.91
50250,Reinforced Microfiber Cloth Pack - 4 pc,Cleaning & Facility,Microfiber Cloth Pack,3174,344.62,537.3
50251,Premium Hex Bolt Set,Fasteners,Hex Bolt Set,3229,634.78,1085.74
50252,Standard Commercial Extension Cord - 2396 lb,Electrical,Commercial Extension Cord,3248,730.0,1162.47
50253,Industrial Impact Wrench - 2307 lb,Tools,Impact Wrench,3113,515.61,667.53
50254,Premium Hydraulic Jack - 50 pc,Tools,Hydraulic Jack,3040,698.49,1053.07
50255,Extra-Large Stackable Tote,Storage,Stackable Tote,3213,28.0,37.7
50256,Hydraulic Jack,Tools,Hydraulic Jack,3070,780.61,1250.78
50257,Extra-Large Wire Connector Kit,Electrical,Wire Connector Kit,3114,208.3,311.28
50258,Multi-Pack Drum Handler - 24 pc,Material Handling,Drum Handler,3072,637.5,1016.45
50259,First Aid Kits - M,Safety Equipment,First Aid Kits,3068,551.51,876.27
50260,Washer Assortment - S,Fasteners,Washer Assortment,3064,512.37,642.63
50261,Industrial Poly Mailer - 2956 lb,Packaging,Poly Mailer,3173,216.82,321.62
50262,Heavy-Duty Washer Assortment,Fasteners,Washer Assortment,3076,551.48,857.29
50263,Heavy-Duty Wire Shelving - 19 pc,Storage,Wire Shelving,3182,732.75,1011.62
50264,Commercial-Grade Stretch Wrap Roll - 5015 lb,Packaging,Stretch Wrap Roll,3184,562.64,894.81
50265,Industrial Fall Protection Harness - 3414 lb,Safety Equipment,Fall Protection Harness,3146,627.14,966.74
50266,Compact Torque Wrench Set,Tools,Torque Wrench Set,3168,257.61,343.91
50267,Heavy-Duty Utility Cart,Material Handling,Utility Cart,3174,649.31,871.07
50268,Heavy-Duty Cable Management Tray - 24 pc,Electrical,Cable Management Tray,3095,359.43,608.67
50269,Industrial Shipping Label Printer,Packaging,Shipping Label Printer,3241,736.9,1136.14
50270,Compact Wire Shelving,Storage,Wire Shelving,3218,256.06,327.0
50271,Compact Hand Truck - 4764 lb,Material Handling,Hand Truck,3046,124.74,209.71
50272,Standard Wire Shelving,Storage,Wire Shelving,3194,7.49,10.39
50273,Commercial-Grade Conveyor Roller - XL,Material Handling,Conveyor Roller,3103,523.66,820.44
50274,Premium Rivet Kit - S,Fasteners,Rivet Kit,3228,622.0,1072.97
50275,Compact Power Strip - S,Electrical,Power Strip,3079,195.03,329.31
50276,Premium Pallet Jack,Material Handling,Pallet Jack,3186,255.93,357.13
50277,Commercial-Grade Wire Connector Kit - L,Electrical,Wire Connector Kit,3207,143.07,243.71
50278,Compact Hex Bolt Set - M,Fasteners,Hex Bolt Set,3043,624.9,965.37
50279,Stackable Tote,Storage,Stackable Tote,3012,530.98,821.41
50280,Bulk Storage Container - 1048 lb,Storage,Bulk Storage Container,3064,379.61,497.97
50281,Compact Floor Scrubber Pads,Cleaning & Facility,Floor Scrubber Pads,3155,564.29,781.54
50282,Heavy-Duty Forklift Attachment,Material Handling,Forklift Attachment,3199,424.84,660.41
50283,Extra-Large Strapping Kit - 24 pc,Packaging,Strapping Kit,3233,139.26,212.24
50284,Multi-Pack Socket Set,Tools,Socket Set,3213,572.04,974.44
50285,Heavy-Duty Floor Scrubber Pads - 48 pc,Cleaning & Facility,Floor Scrubber Pads,3075,548.93,811.52
50286,Bubble Wrap Roll - 13 pc,Packaging,Bubble Wrap Roll,3109,308.42,489.89
50287,Storage Bin - S,Storage,Storage Bin,3244,281.71,478.14
50288,Heavy-Duty Poly Mailer,Packaging,Poly Mailer,3069,342.76,593.37
50289,Premium Rivet Kit,Fasteners,Rivet Kit,3026,834.4,1395.26
50290,Multi-Pack Washer Assortment - 5107 lb,Fasteners,Washer Assortment,3220,663.06,1031.51
50291,Multi-Pack Forklift Attachment,Material Handling,Forklift Attachment,3003,57.11,90.09
50292,Standard Socket Set - 2136 lb,Tools,Socket Set,3098,296.18,470.38
50293,Extra-Large Drum Handler - S,Material Handling,Drum Handler,3126,431.46,640.56
50294,Multi-Pack Pallet Jack - 17 pc,Material Handling,Pallet Jack,3164,46.12,62.79
50295,Compact Rivet Kit,Fasteners,Rivet Kit,3114,382.82,642.48
50296,Multi-Pack Commercial Extension Cord - 3404 lb,Electrical,Commercial Extension Cord,3211,33.83,51.58
50297,Reinforced Modular Drawer System - L,Storage,Modular Drawer System,3087,557.62,824.22
50298,Compact Commercial Extension Cord,Electrical,Commercial Extension Cord,3093,511.36,822.44
50299,Heavy-Duty Industrial Mop - 2 pc,Cleaning & Facility,Industrial Mop,3074,706.0,1222.95
50300,Heavy-Duty Cable Management Tray - S,Electrical,Cable Management Tray,3104,699.19,1133.57
50301,Reinforced Stackable Tote - 1089 lb,Storage,Stackable Tote,3048,186.0,309.18
50302,Premium Commercial Extension Cord,Electrical,Commercial Extension Cord,3168,657.12,969.42
50303,Forklift Attachment,Material Handling,Forklift Attachment,3235,412.3,620.17
